Date,Open,High,Low,Close,Adj Close,Volume
2021-07-14,588.500000,588.500000,581.500000,585.299988,568.926331,1290445
2021-07-15,585.299988,589.450012,582.049988,584.450012,568.100098,1233095
2021-07-16,584.849976,588.849976,578.700012,580.299988,564.066162,2229326
2021-07-19,578.799988,590.000000,576.000000,588.799988,572.328369,1953706
2021-07-20,591.000000,592.450012,583.000000,588.200012,571.745239,1877572
2021-07-22,590.700012,595.400024,584.549988,588.450012,571.988220,1191908
2021-07-23,590.900024,594.099976,585.650024,590.150024,573.640625,666936
2021-07-26,593.000000,599.000000,590.150024,595.349976,578.695129,1527942
2021-07-27,597.349976,598.799988,587.750000,588.700012,572.231201,1585300
2021-07-28,586.150024,603.450012,586.150024,590.099976,573.592041,2559515
2021-07-29,588.400024,593.450012,582.200012,584.599976,571.149536,2365089
2021-07-30,587.200012,603.650024,584.150024,600.700012,586.879089,3145307
2021-08-02,605.900024,609.000000,594.049988,599.049988,585.267090,5788412
2021-08-03,602.700012,619.799988,597.900024,614.250000,600.117371,13194079
2021-08-04,615.000000,615.900024,586.750000,588.099976,574.569031,5849144
2021-08-05,593.450012,596.450012,585.849976,589.549988,575.985596,3160815
2021-08-06,590.000000,596.549988,584.099976,585.200012,571.735779,2452586
2021-08-09,590.950012,594.000000,579.250000,581.750000,568.365112,2261395
2021-08-10,584.650024,585.650024,573.599976,579.799988,566.459961,2070287
2021-08-11,582.000000,582.400024,570.650024,575.099976,561.868164,2320928
2021-08-12,576.000000,584.799988,574.049988,575.400024,562.161194,2474432
2021-08-13,579.700012,591.500000,576.849976,588.299988,574.764404,5318962
2021-08-16,588.200012,592.650024,583.000000,588.349976,574.813232,1315500
2021-08-17,589.000000,597.799988,588.349976,596.599976,582.873413,4557665
2021-08-18,598.349976,600.750000,594.150024,597.400024,583.655029,1992466
2021-08-20,594.650024,616.000000,590.299988,611.700012,597.626038,4420438
2021-08-23,614.750000,621.950012,605.849976,609.900024,595.867432,3188046
2021-08-24,608.000000,610.500000,589.200012,592.849976,579.209656,2295973
2021-08-25,593.000000,601.799988,592.150024,600.099976,586.292908,1533202
2021-08-26,599.950012,609.200012,598.950012,605.500000,591.568665,1793401
2021-08-27,608.000000,612.599976,605.049988,608.750000,594.743896,1477611
2021-08-30,610.000000,617.549988,610.000000,616.750000,602.559814,1299450
2021-08-31,616.000000,623.849976,610.000000,621.500000,607.200562,3026655
2021-09-01,622.000000,627.700012,615.650024,626.250000,611.841248,2467985
2021-09-02,626.500000,643.900024,624.450012,640.849976,626.105347,3017389
2021-09-03,643.200012,644.000000,634.000000,641.250000,626.496155,1676263
2021-09-06,641.250000,645.400024,633.750000,634.799988,620.194580,1420648
2021-09-07,637.000000,651.349976,635.400024,638.000000,623.320923,2457494
2021-09-08,639.000000,642.549988,634.000000,640.650024,625.910034,1262769
2021-09-09,635.000000,639.150024,627.200012,638.299988,623.614014,2195875
2021-09-13,642.400024,649.250000,637.000000,640.200012,625.470276,2328010
2021-09-14,640.200012,640.950012,634.750000,639.200012,624.493286,1422838
2021-09-15,640.400024,644.000000,636.299988,637.200012,622.539368,1157146
2021-09-16,642.200012,645.650024,638.049988,640.400024,625.665649,1115690
2021-09-17,641.000000,655.900024,640.349976,653.950012,638.903992,2959141
2021-09-20,654.849976,658.400024,643.000000,645.650024,630.794922,2804783
2021-09-21,647.950012,652.150024,645.000000,651.299988,636.314941,785138
2021-09-22,654.000000,654.000000,647.549988,648.400024,633.481628,877503
2021-09-23,650.099976,651.000000,642.650024,647.650024,632.748962,1480529
2021-09-24,649.000000,658.950012,649.000000,651.900024,636.901123,2416462
2021-09-27,654.000000,654.250000,632.000000,633.200012,618.631409,1468310
2021-09-28,634.000000,634.349976,621.000000,626.349976,611.938965,1906140
2021-09-29,627.000000,628.299988,620.250000,623.150024,608.812622,1827330
2021-09-30,624.000000,626.799988,616.099976,617.049988,602.852966,1705501
2021-10-01,617.000000,620.200012,609.000000,617.950012,603.732239,1563570
2021-10-04,619.900024,625.450012,613.299988,624.200012,609.838440,2158448
2021-10-05,626.400024,626.400024,614.000000,616.200012,602.022522,3156201
2021-10-06,616.799988,623.700012,614.000000,614.950012,600.801331,2026192
2021-10-07,617.549988,619.400024,614.400024,615.150024,600.996643,1228502
2021-10-08,616.049988,620.900024,606.000000,607.000000,593.034119,3407806
2021-10-11,610.000000,611.000000,607.000000,608.650024,594.646240,1426583
2021-10-12,611.000000,621.599976,610.000000,616.799988,602.608704,2801156
2021-10-13,621.450012,625.000000,616.099976,623.799988,609.447632,1499629
2021-10-14,626.000000,627.900024,612.450012,615.200012,601.045532,2722324
2021-10-18,632.000000,632.000000,612.599976,614.150024,600.019653,1464144
2021-10-19,615.000000,620.299988,604.099976,605.250000,591.324463,1524974
2021-10-20,607.000000,607.849976,591.049988,592.650024,579.014282,2784702
2021-10-21,598.500000,599.000000,585.250000,587.400024,573.885132,1925145
2021-10-22,591.900024,597.000000,585.000000,590.750000,577.158081,1407275
2021-10-25,592.000000,593.250000,576.549988,581.299988,567.925476,1462238
2021-10-26,582.000000,583.950012,574.450012,581.349976,567.974365,1949684
2021-10-27,584.000000,597.950012,583.349976,591.650024,578.037354,3252371
2021-10-28,594.000000,594.349976,586.450012,589.700012,576.132202,1105554
2021-10-29,589.900024,593.799988,582.450012,585.849976,572.370789,1980982
2021-11-01,588.000000,600.799988,587.000000,597.049988,583.313049,3104045
2021-11-02,599.849976,604.900024,588.750000,598.049988,584.290100,6908391
2021-11-03,608.000000,612.299988,600.750000,610.549988,596.502502,7257690
2021-11-04,616.000000,616.150024,611.750000,612.549988,598.456421,276957
2021-11-08,625.000000,625.000000,604.500000,606.799988,592.838745,2428555
2021-11-09,606.000000,609.400024,600.150024,603.200012,589.321655,876256
2021-11-10,601.200012,606.900024,598.000000,605.250000,591.324463,1801639
2021-11-11,604.700012,604.700012,595.000000,599.000000,587.645508,2031771
2021-11-12,602.000000,604.299988,598.599976,602.450012,591.030151,2304135
2021-11-15,604.000000,607.000000,598.099976,604.000000,592.550720,1665604
2021-11-16,605.799988,611.900024,604.549988,610.000000,598.436951,1793708
